database,treatment,q=0,q=1,q=2,q=3,q=4
Bacteria,control15Bracken,3346,1071.065438,577.0201852,343.8220674,237.4193117
Bacteria,control25Bracken,3635,1101.285329,545.9446136,328.0551538,236.8349544
Bacteria,maiz25Bracken,3636,797.340188,268.8606412,137.8614854,96.44561853
Bacteria,maiz35Bracken,3633,825.1572501,284.9104608,150.5650711,107.2073686
Archaea,control15Bracken,211,78.77127981,51.15815076,40.15794222,34.06290816
Archaea,control25Bracken,212,80.31016015,54.42117626,44.30515731,38.35716014
Archaea,maiz25Bracken,212,80.87524423,54.91550646,44.24327522,37.83643715
Archaea,maiz35Bracken,212,81.58962135,55.38927462,44.67999212,38.27156848
Fungi,control15Bracken,51,19.67362922,12.12892118,9.529412966,8.333436012
Fungi,control25Bracken,51,18.93975333,11.58684011,9.116216833,7.98644314
Fungi,maiz25Bracken,51,18.1652559,11.09173949,8.739878722,7.657083961
Fungi,maiz35Bracken,51,18.39436145,11.18833174,8.853048997,7.773260423
Protozoa,control15Bracken,38,20.32046441,15.81515276,13.89771945,12.80262323
Protozoa,control25Bracken,38,19.97716128,15.53853198,13.64503733,12.56080074
Protozoa,maiz25Bracken,38,19.95714292,15.49935246,13.59200347,12.49701532
Protozoa,maiz35Bracken,38,20.36497814,15.80533069,13.84944468,12.72422673
Virus,control15Bracken,4898,1671.783049,634.6489017,318.8325871,212.3341425
Virus,control25Bracken,5125,1654.908616,622.467121,313.0701399,208.2186236
Virus,maiz25Bracken,5018,1418.599565,487.2906467,255.6936451,178.5809882
Virus,maiz35Bracken,5128,1513.60596,528.1345739,270.3311322,185.7152256
